year,scholarships,tertiary_expenditure,country_id
2010,112791.0,,6.0
2011,156558.0,,6.0
2012,278254.0,,6.0
2013,213961.0,,6.0
2014,330232.0,,6.0
2015,402852.0,,6.0
2016,55902.0,,6.0
2017,524233.0,,6.0
2018,499021.0,,6.0
2019,441704.0,,6.0
2020,223583.0,,6.0
2021,233986.0,,6.0
2022,278134.0,,6.0
2023,1641302.0,,6.0
2014,,98.0618667602539,26.0
2018,,95.93306732177734,26.0
2023,,100.0,26.0
2006,538838.0,89.00910949707031,13.0
2007,1817673.0,86.4039535522461,13.0
2008,2891655.0,86.45133972167969,13.0
2009,4047772.0,84.62078094482422,13.0
2010,1900891.0,87.15254974365234,13.0
2011,1739205.0,86.08741760253906,13.0
2012,1349502.0,85.9180679321289,13.0
2013,1417480.0,81.93573760986328,13.0
2014,1244547.0,80.72447204589844,13.0
2015,1327482.0,83.83309936523438,13.0
2016,1618054.0,87.3188705444336,13.0
2017,1881428.0,90.28614807128906,13.0
2018,2130535.0,92.10633087158205,13.0
2019,1656446.0,92.08020782470705,13.0
2020,2023068.0,96.11869049072266,13.0
2021,1052889.0,94.6861801147461,13.0
2022,1536815.0,95.39209747314452,13.0
2023,1351074.0,,13.0
2000,,96.91636657714844,161.0
2001,,92.9409408569336,161.0
2002,,90.9161605834961,161.0
2004,,96.69651794433594,161.0
2005,,94.83936309814452,161.0
2006,1166714.0,94.0714111328125,161.0
2007,1601443.0,95.0941162109375,161.0
2008,12784952.0,88.65451049804688,161.0
2009,19218416.0,86.38710021972656,161.0
2010,18822660.0,86.87077331542969,161.0
2011,19350280.0,91.98551940917967,161.0
2012,22528228.0,90.58432006835938,161.0
2013,21844744.0,90.69017791748048,161.0
2014,18951986.0,92.03530883789062,161.0
2015,16733110.0,95.63939666748048,161.0
2016,13683989.0,95.09069061279295,161.0
2017,17598196.0,97.350341796875,161.0
2018,16766821.0,96.73407745361328,161.0
2019,20593958.0,97.4178466796875,161.0
2020,22039644.0,97.39447784423828,161.0
2021,20014748.0,97.3777313232422,161.0
2022,30157296.0,96.77767944335938,161.0
2023,24425484.0,,161.0
2000,,100.0,181.0
2001,,99.06121826171876,181.0
2002,,99.6268081665039,181.0
2003,,99.80647277832033,181.0
2004,,99.94049835205078,181.0
2005,,99.5340576171875,181.0
2007,,90.54776763916016,181.0
2008,166481.0,98.83920288085938,181.0
2009,176252.0,98.94154357910156,181.0
2010,19917.0,99.50950622558594,181.0
2013,,98.33702087402344,181.0
2014,,100.0,181.0
2016,,100.0,181.0
2019,,97.09935760498048,181.0
2020,,99.93769073486328,181.0
2021,,98.33361053466795,181.0
2022,,98.96202850341795,181.0
2023,,98.57569122314452,181.0
2006,1357295.0,,2.0
2007,2123263.0,,2.0
2008,2589396.0,,2.0
2009,4820462.0,,2.0
2010,4857369.0,,2.0
2011,6160760.0,,2.0
2012,10535810.0,,2.0
2013,8954300.0,,2.0
2014,7966078.0,,2.0
2015,7058871.0,,2.0
2016,3250057.0,,2.0
2017,4015926.0,,2.0
2018,2689502.0,,2.0
2019,2210478.0,,2.0
2020,2062491.0,,2.0
2021,1115229.0,,2.0
2022,2064289.0,,2.0
2023,3520422.0,,2.0
2006,44618.0,,19.0
2007,91184.0,,19.0
2008,306155.0,,19.0
2009,642156.0,92.25155639648438,19.0
2010,740232.0,,19.0
2011,2174833.0,,19.0
2012,1327389.0,,19.0
2013,1809181.0,,19.0
2014,1222890.0,,19.0
2015,2012077.0,,19.0
2016,1210448.0,,19.0
2017,1418695.0,,19.0
2018,1534554.0,,19.0
2019,1422957.0,,19.0
2020,1274150.0,,19.0
2021,470705.0,,19.0
2022,485961.0,,19.0
2023,572615.0,,19.0
2005,,98.67668151855467,50.0
2006,564064.0,,50.0
2007,457775.0,98.90061950683594,50.0
2008,1033851.0,96.71090698242188,50.0
2009,1167316.0,,50.0
2010,1196788.0,95.83297729492188,50.0
2011,212652.0,,50.0
2012,884493.0,,50.0
2013,1760858.0,,50.0
2014,1371589.0,,50.0
2015,1225823.0,,50.0
2016,1338794.0,,50.0
2017,1717873.0,,50.0
2018,2573026.0,,50.0
2019,3554621.0,,50.0
2020,3254345.0,,50.0
2021,2315589.0,,50.0
2022,2548188.0,,50.0
2023,2038595.0,,50.0
2006,,92.4685287475586,193.0
2008,,90.53817749023438,193.0
2009,,88.36515045166016,193.0
2010,,87.65043640136719,193.0
2011,,85.19567108154297,193.0
2013,,90.97168731689452,193.0
2014,,91.40335845947266,193.0
2015,,91.26812744140624,193.0
2016,,92.79521942138672,193.0
2017,,89.64629364013672,193.0
2018,,89.99595642089844,193.0
2019,,93.7236328125,193.0
2020,,93.10611724853516,193.0
2021,,92.28018951416016,193.0
2022,,91.3281021118164,193.0
2000,,88.38175964355469,156.0
2001,,88.45276641845703,156.0
2002,,89.27420806884766,156.0
2003,,89.58756256103516,156.0
2004,,90.67154693603516,156.0
2005,,91.1794204711914,156.0
2006,,91.31257629394533,156.0
2007,,94.11165618896484,156.0
2008,,91.05184173583984,156.0
2009,,90.91226959228516,156.0
2010,,90.09613800048828,156.0
2011,,88.61274719238281,156.0
2012,,88.92549133300781,156.0
2013,,90.69132232666016,156.0
2014,,88.87777709960938,156.0
2015,,90.11190032958984,156.0
2016,,89.65959167480469,156.0
2000,,91.96147918701172,71.0
2002,,90.17135620117188,71.0
2003,,93.16863250732422,71.0
2004,,85.00910949707031,71.0
2005,,92.1443862915039,71.0
2006,641276.0,92.08556365966795,71.0
2007,1736646.0,92.59667205810548,71.0
2008,4511735.0,95.50289916992188,71.0
2009,6896320.0,94.9377899169922,71.0
2010,4046688.0,94.65514373779295,71.0
2011,4343115.0,94.1391830444336,71.0
2012,4651038.0,,71.0
2013,4076399.0,,71.0
2014,3730302.0,,71.0
2015,5037153.0,,71.0
2016,3816043.0,,71.0
2017,3718214.0,96.43901824951172,71.0
2018,,93.20255279541016,71.0
2019,,93.87255859375,71.0
2020,,93.4394302368164,71.0
2021,,93.4867172241211,71.0
2022,,92.12313842773438,71.0
2006,11310669.0,,15.0
2007,14158073.0,,15.0
2008,34564528.0,,15.0
2009,202716944.0,,15.0
2010,230793824.0,,15.0
2011,243005184.0,,15.0
2012,95023096.0,,15.0
2013,35094892.0,,15.0
2014,32515926.0,,15.0
2015,20243776.0,,15.0
2016,20603772.0,,15.0
2017,22253164.0,,15.0
2018,25466896.0,,15.0
2019,37773248.0,,15.0
2020,37960328.0,,15.0
2021,18195644.0,,15.0
2022,28771882.0,78.73941040039062,15.0
2023,23486854.0,80.23452758789062,15.0
2006,904804.0,,108.0
2007,793394.0,,108.0
2008,3570928.0,76.43399047851562,108.0
2009,5360670.0,100.0,108.0
2010,3730282.0,69.72982788085938,108.0
2011,3092644.0,86.3168716430664,108.0
2012,3731736.0,100.0,108.0
2013,9549410.0,63.22787094116211,108.0
2014,8436747.0,,108.0
2015,9440009.0,,108.0
2016,8921964.0,,108.0
2017,11011952.0,,108.0
2018,10412722.0,,108.0
2019,15394122.0,,108.0
2020,13745511.0,,108.0
2021,12105920.0,,108.0
2022,12044088.0,,108.0
2023,14004249.0,,108.0
2006,719897.0,,117.0
2007,652772.0,,117.0
2008,1426685.0,,117.0
2009,1388248.0,,117.0
2010,754024.0,65.30030059814453,117.0
2011,491307.0,,117.0
2012,753858.0,,117.0
2013,3856577.0,80.0354232788086,117.0
2014,4024978.0,,117.0
2015,4404878.0,,117.0
2016,4679274.0,,117.0
2017,4654287.0,,117.0
2018,6729616.0,,117.0
2019,8900204.0,,117.0
2020,7366328.0,,117.0
2021,5791531.0,,117.0
2022,6239778.0,,117.0
2023,8092051.0,,117.0
2006,438144.0,,72.0
2007,2532735.0,,72.0
2008,10892615.0,,72.0
2009,10265081.0,,72.0
2010,5659964.0,,72.0
2011,5721491.0,,72.0
2012,8391930.0,,72.0
2013,7871922.0,,72.0
2014,5803482.0,,72.0
2015,8451616.0,,72.0
2016,5877296.0,,72.0
2017,8729849.0,,72.0
2018,9011198.0,,72.0
2019,9923678.0,,72.0
2020,9809854.0,,72.0
2021,6600609.0,,72.0
2022,7949729.0,,72.0
2023,7753798.0,,72.0
2006,154875.0,,124.0
2007,128275.0,,124.0
2008,509546.0,,124.0
2009,460320.0,,124.0
2010,329095.0,,124.0
2011,70447.0,,124.0
2012,514173.0,,124.0
2013,4623185.0,,124.0
2014,5626272.0,,124.0
2015,5496780.0,99.99989318847656,124.0
2016,6052842.0,,124.0
2017,6026110.0,,124.0
2018,6265648.0,,124.0
2019,7843799.0,,124.0
2020,7329751.0,,124.0
2021,6163513.0,,124.0
2022,7066545.0,,124.0
2023,9892889.0,,124.0
2006,128192.0,,35.0
2007,639403.0,,35.0
2008,1683528.0,,35.0
2009,2413509.0,,35.0
2010,1428919.0,,35.0
2011,1494704.0,,35.0
2012,1715265.0,,35.0
2013,2071029.0,,35.0
2014,1527780.0,,35.0
2015,2177850.0,,35.0
2016,1038471.0,100.0,35.0
2017,1335559.0,100.0,35.0
2018,1523243.0,100.0,35.0
2019,1608431.0,90.22763061523438,35.0
2020,1068408.0,93.4814682006836,35.0
2021,952583.0,93.41295623779295,35.0
2022,1118926.0,,35.0
2023,1145872.0,97.38986206054688,35.0
2000,,85.56565856933594,67.0
2001,,84.14127349853516,67.0
2002,,85.85307312011719,67.0
2004,,81.50794219970703,67.0
2005,,84.76165008544922,67.0
2006,1139330.0,87.4369888305664,67.0
2007,1052425.0,96.9489974975586,67.0
2008,1470402.0,98.49717712402344,67.0
2009,3623124.0,98.67598724365234,67.0
2010,1467121.0,99.1841812133789,67.0
2011,946245.0,,67.0
2012,1569278.0,,67.0
2013,1386831.0,,67.0
2014,1282562.0,,67.0
2015,1308181.0,,67.0
2016,813153.0,,67.0
2017,1699623.0,,67.0
2018,1521792.0,,67.0
2019,1897253.0,,67.0
2020,1783974.0,,67.0
2021,1531061.0,,67.0
2022,1951109.0,,67.0
2023,2097362.0,,67.0
2013,,100.0,18.0
2000,,75.09578704833984,213.0
2001,,76.58495330810547,213.0
2002,,65.11627960205078,213.0
2003,,74.85652923583984,213.0
2004,,79.8711166381836,213.0
2005,,81.01312255859375,213.0
2006,,79.57293701171875,213.0
2007,,83.46749114990234,213.0
2008,,73.27976989746094,213.0
2009,,79.52156829833984,213.0
2010,,84.3904800415039,213.0
2011,,89.19265747070312,213.0
2013,,92.6045913696289,213.0
2014,,94.79678344726562,213.0
2015,,91.10131072998048,213.0
2016,,88.67207336425781,213.0
2017,,74.35856628417969,213.0
2019,,95.50318908691406,213.0
2020,,95.23394012451172,213.0
2021,,94.9684829711914,213.0
2022,,93.10272979736328,213.0
2000,,89.56826782226562,168.0
2001,,88.07283782958984,168.0
2002,,88.10249328613281,168.0
2003,,86.13452911376953,168.0
2004,,86.66905975341797,168.0
2005,,84.09227752685547,168.0
2006,,88.00811767578125,168.0
2007,,81.04811096191406,168.0
2008,,87.83778381347656,168.0
2009,,89.34781646728516,168.0
2010,,91.18357849121094,168.0
2011,,79.9026870727539,168.0
2012,,90.32064056396484,168.0
2013,,91.39515686035156,168.0
2014,,92.88912200927734,168.0
2015,,89.94429779052734,168.0
2016,,92.36292266845705,168.0
2017,,92.98040771484376,168.0
2018,,83.37705993652344,168.0
2019,,87.88126373291016,168.0
2020,,90.5194320678711,168.0
2021,,83.96991729736328,168.0
2022,,85.71498107910156,168.0
2012,,89.65425872802734,75.0
2013,,90.96864318847656,75.0
2014,,91.30486297607422,75.0
2015,,90.831298828125,75.0
