ratio_id,country_id,year,students_per_staff
101,161.0,2016,23.06536
102,156.0,2016,13.97418
103,72.0,2016,30.71638
104,168.0,2016,18.86438
105,75.0,2016,12.08916
106,30.0,2016,17.3362
107,182.0,2016,12.20607
108,153.0,2016,13.68843
109,27.0,2016,15.28077
110,179.0,2016,16.28846
111,189.0,2016,15.83971
112,85.0,2016,12.62524
113,202.0,2016,13.66236
114,24.0,2016,20.82268
115,3.0,2016,20.20739
116,21.0,2016,16.27679
117,37.0,2016,7.556742
118,52.0,2016,18.36461
119,87.0,2016,14.76202
120,69.0,2016,9.555291
121,76.0,2016,16.92303
122,114.0,2016,14.58688
123,139.0,2016,14.36796
124,205.0,2016,19.26056
125,66.0,2016,12.39847
126,107.0,2016,15.32417
127,127.0,2016,10.38403
128,12.0,2016,23.12514
129,148.0,2016,14.16111
130,5.0,2017,15.5318
131,169.0,2017,14.04017
132,58.0,2017,21.16774
133,34.0,2017,11.95495
134,161.0,2017,23.63829
135,156.0,2017,14.08278
136,72.0,2017,31.25551
137,35.0,2017,32.19422
138,168.0,2017,18.36216
139,75.0,2017,12.09245
140,30.0,2017,16.06822
141,182.0,2017,12.3517
142,153.0,2017,13.50675
143,27.0,2017,15.50614
144,179.0,2017,16.17869
145,189.0,2017,15.82965
146,85.0,2017,12.76378
147,202.0,2017,12.08306
148,24.0,2017,21.32328
149,3.0,2017,20.01447
150,21.0,2017,16.22996
151,37.0,2017,7.24645
152,52.0,2017,16.56025
153,203.0,2017,16.72907
154,87.0,2017,14.59079
155,69.0,2017,9.463941
156,76.0,2017,16.63449
157,28.0,2017,19.25267
158,114.0,2017,14.27967
159,139.0,2017,14.2107
160,205.0,2017,19.38613
161,66.0,2017,11.92502
162,107.0,2017,14.94661
163,127.0,2017,10.26989
164,12.0,2017,25.6465
165,148.0,2017,13.90243
166,5.0,2018,15.8583
167,169.0,2018,13.76719
168,58.0,2018,20.97267
169,34.0,2018,11.50294
170,161.0,2018,23.7739
171,156.0,2018,12.10899
172,72.0,2018,27.71981
173,168.0,2018,15.01679
174,75.0,2018,11.97228
175,30.0,2018,15.76064
176,182.0,2018,12.29636
177,153.0,2018,12.84797
178,27.0,2018,15.32682
179,179.0,2018,16.31337
180,189.0,2018,15.38294
181,85.0,2018,12.52151
182,202.0,2018,11.53894
183,24.0,2018,21.33866
184,3.0,2018,20.30783
185,21.0,2018,14.37258
186,37.0,2018,4.355101
187,52.0,2018,16.33105
188,203.0,2018,18.12677
189,87.0,2018,14.63423
190,69.0,2018,9.353638
191,76.0,2018,16.69354
192,114.0,2018,13.84805
