year,percentage,gender,country_id,graduation_id
2020,18.4944,Male,147.0,GRD0209
2021,15.6088,Male,147.0,GRD0210
2022,17.7593,Male,147.0,GRD0211
2023,19.4858,Male,147.0,GRD0212
2024,22.1443,Male,147.0,GRD0213
2007,14.6433,Male,143.0,GRD0214
2008,18.9064,Male,143.0,GRD0215
2009,22.6509,Male,143.0,GRD0216
2018,33.0133,Male,143.0,GRD0217
2019,30.2181,Male,143.0,GRD0218
2020,24.4919,Male,143.0,GRD0219
2021,24.0458,Male,143.0,GRD0220
2022,26.9331,Male,143.0,GRD0221
2023,24.5318,Male,143.0,GRD0222
2000,21.6599,Male,8.0,GRD0223
2001,22.4871,Male,8.0,GRD0224
2002,24.9721,Male,8.0,GRD0225
2003,25.9744,Male,8.0,GRD0226
2010,34.9375,Male,8.0,GRD0227
2011,36.8606,Male,8.0,GRD0228
2012,39.6889,Male,8.0,GRD0229
2013,44.5088,Male,8.0,GRD0230
2018,68.8419,Male,8.0,GRD0231
2019,57.6046,Male,8.0,GRD0232
2020,53.4894,Male,8.0,GRD0233
2021,52.4136,Male,8.0,GRD0234
2022,55.9165,Male,8.0,GRD0235
2023,62.7827,Male,8.0,GRD0236
2024,53.3927,Male,8.0,GRD0237
2011,7.2352,Male,6.0,GRD0238
2012,8.6467,Male,6.0,GRD0239
2014,0.0,Male,6.0,GRD0240
2015,4.0055,Male,6.0,GRD0241
2017,0.0,Male,26.0,GRD0242
2018,0.0,Male,26.0,GRD0243
2012,18.3179,Male,161.0,GRD0244
2001,12.069,Male,181.0,GRD0245
2007,13.6714,Male,181.0,GRD0246
2009,14.5898,Male,181.0,GRD0247
2010,13.5427,Male,181.0,GRD0248
2011,16.517,Male,181.0,GRD0249
2004,25.4826,Male,193.0,GRD0250
2005,29.9037,Male,193.0,GRD0251
2012,27.5159,Male,193.0,GRD0252
2013,30.7771,Male,193.0,GRD0253
2014,31.699,Male,193.0,GRD0254
2016,32.0069,Male,193.0,GRD0255
2018,31.7406,Male,193.0,GRD0256
2019,31.2429,Male,193.0,GRD0257
2020,31.9613,Male,193.0,GRD0258
2021,33.8868,Male,193.0,GRD0259
2022,36.1898,Male,193.0,GRD0260
2023,33.1275,Male,193.0,GRD0261
2000,27.0091,Male,156.0,GRD0262
2001,25.1019,Male,156.0,GRD0263
2002,23.4641,Male,156.0,GRD0264
2003,23.8447,Male,156.0,GRD0265
2004,24.1434,Male,156.0,GRD0266
2005,25.1359,Male,156.0,GRD0267
2006,27.8064,Male,156.0,GRD0268
2007,30.1773,Male,156.0,GRD0269
2008,29.7623,Male,156.0,GRD0270
2009,28.628,Male,156.0,GRD0271
2010,27.6723,Male,156.0,GRD0272
2011,26.5731,Male,156.0,GRD0273
2013,50.3726,Male,156.0,GRD0274
2014,51.5092,Male,156.0,GRD0275
2015,52.413,Male,156.0,GRD0276
2016,51.9035,Male,156.0,GRD0277
2017,53.5872,Male,156.0,GRD0278
2018,54.7513,Male,156.0,GRD0279
2019,56.5243,Male,156.0,GRD0280
2020,53.9612,Male,156.0,GRD0281
2021,58.7155,Male,156.0,GRD0282
2022,58.32,Male,156.0,GRD0283
2023,60.3848,Male,156.0,GRD0284
2000,11.865,Male,71.0,GRD0285
2003,14.7303,Male,71.0,GRD0286
2006,13.0763,Male,71.0,GRD0287
2007,12.6056,Male,71.0,GRD0288
2008,12.883,Male,71.0,GRD0289
2009,17.2171,Male,71.0,GRD0290
2010,16.2465,Male,71.0,GRD0291
2012,16.1214,Male,71.0,GRD0292
2018,16.1466,Male,71.0,GRD0293
2019,14.9801,Male,71.0,GRD0294
2020,12.2097,Male,71.0,GRD0295
2021,17.6798,Male,71.0,GRD0296
2022,18.1994,Male,71.0,GRD0297
2023,18.6108,Male,71.0,GRD0298
2013,15.3353,Male,15.0,GRD0299
2014,22.1667,Male,15.0,GRD0300
2015,25.1645,Male,15.0,GRD0301
2016,27.2571,Male,15.0,GRD0302
2017,28.9658,Male,15.0,GRD0303
2018,29.1216,Male,15.0,GRD0304
2019,29.1161,Male,15.0,GRD0305
2020,30.806,Male,15.0,GRD0306
2021,33.9702,Male,15.0,GRD0307
2022,36.8679,Male,15.0,GRD0308
2023,39.7617,Male,15.0,GRD0309
2024,45.6314,Male,15.0,GRD0310
2002,4.1526,Male,72.0,GRD0311
2004,5.7891,Male,72.0,GRD0312
2006,8.1188,Male,72.0,GRD0313
2011,12.7131,Male,72.0,GRD0314
2012,12.7501,Male,72.0,GRD0315
2013,16.5739,Male,72.0,GRD0316
2014,17.3789,Male,72.0,GRD0317
2015,18.5407,Male,72.0,GRD0318
2016,19.2861,Male,72.0,GRD0319
2017,20.6096,Male,72.0,GRD0320
2018,21.829,Male,72.0,GRD0321
2019,22.0089,Male,72.0,GRD0322
2020,20.9259,Male,72.0,GRD0323
2021,24.2867,Male,72.0,GRD0324
2001,20.7761,Male,35.0,GRD0325
2002,22.0347,Male,35.0,GRD0326
2010,25.8612,Male,35.0,GRD0327
2011,26.6296,Male,35.0,GRD0328
2000,7.3277,Male,67.0,GRD0329
2001,7.3237,Male,67.0,GRD0330
2002,8.978,Male,67.0,GRD0331
2003,9.4468,Male,67.0,GRD0332
2004,10.1008,Male,67.0,GRD0333
2005,10.7415,Male,67.0,GRD0334
2006,11.8371,Male,67.0,GRD0335
2007,13.6878,Male,67.0,GRD0336
2008,19.6454,Male,67.0,GRD0337
2009,27.4474,Male,67.0,GRD0338
2010,36.0107,Male,67.0,GRD0339
2011,36.8381,Male,67.0,GRD0340
2012,35.9859,Male,67.0,GRD0341
2013,35.8707,Male,67.0,GRD0342
2014,27.9306,Male,67.0,GRD0343
2015,25.7378,Male,67.0,GRD0344
2016,20.8273,Male,67.0,GRD0345
2017,13.0498,Male,67.0,GRD0346
2018,12.0297,Male,67.0,GRD0347
2006,0.0,Male,60.0,GRD0348
2007,0.0,Male,60.0,GRD0349
2008,1.3423,Male,60.0,GRD0350
2002,2.3709,Male,213.0,GRD0351
2003,1.8055,Male,213.0,GRD0352
2004,2.3473,Male,213.0,GRD0353
2005,2.0748,Male,213.0,GRD0354
2006,2.3726,Male,213.0,GRD0355
2007,2.6593,Male,213.0,GRD0356
2008,6.311,Male,213.0,GRD0357
