REF_AREA,F00,F01,F02,F03,F04,F05,F05T07,F06,F07,F08,F09,F10,_TX_U
EU25,0.03888126394992,9.46797417594419,8.92300240320673,9.96232241756637,23.9550234943524,5.75633588002544,25.4064563622568,5.42496403298754,14.2251564492438,1.96852494823629,15.1374723276114,5.1403426068759,100.0
FIN,0.0,6.80086220064835,9.60131706240771,6.59379826541523,19.9307523888729,4.59953495476841,29.399684312361,8.05342928427163,16.746720073321,1.96541013934384,21.1799249817546,4.52825064919635,100.0
FRA,0.0,4.05918935919602,8.66598079948323,7.11521326441535,31.2260798173229,12.6718667595712,30.54104079404,4.06156090873261,13.8076131257362,1.48718742130126,13.1807335315648,3.7245750126765,100.0
GBR,0.4670847346027,6.88903378426431,13.1261106036344,13.5556642486102,25.8947464441247,8.63327353144262,23.2781946547322,5.38425277589814,9.26066834739139,0.70275401576361,15.919715853707,0.16669566056094,100.0
GRC,0.0,7.54873739146715,10.2143743125278,16.0511596339722,21.242013620726,8.16073392777739,26.1929836878935,3.62751293032835,14.4047368297877,3.31390858667416,11.8912214187086,3.54560134803061,100.0
HRV,0.00310964612227,7.54089184650787,8.01044841097083,8.03843522607127,21.1922383232788,5.39523602214068,28.7269108775421,5.20243796255986,18.1292368928416,2.99458921574725,14.2328503016357,9.26052615212389,100.0
HUN,0.0,13.1044715721319,8.29061846631146,11.5380724354219,25.6744452687664,3.68584339380859,24.195724016996,6.8186416672287,13.6912389559587,3.43967087070884,8.83186079449653,4.92513657516692,100.0
IRL,0.7569601847496,8.38215797801822,9.97198819655305,6.51541718342386,25.6318693067613,7.92990634221443,26.2359406406364,8.31907796262242,9.98695633579951,1.27336098875251,17.6934097421203,3.53889577898473,100.0
ISL,0.0,19.1333088505325,8.00587587219978,16.5626147631289,19.8310686742563,4.75578406169666,16.8747704737422,4.0213000367242,8.09768637532134,0.75284612559677,15.7730444362835,3.06647080426001,100.0
ISR,0.0,23.7145864969862,6.39655670352808,13.9310968054482,18.4732483067664,4.19605176124242,27.4564696894884,6.94249061384958,16.3179273143964,0.3754460168252,9.63768993562452,0.01490604533301,100.0
